,productnaam,prijs
185,sandisk extreme portable v2 1000 gb zwart externe ssd,143
186,kioxia exceria g2 nvme 1tb nvme 2280 m.2 ssd,74
187,crucial p3 500gb m.2 ssd,50
188,wd blue sa510 500gb m.2 ssd,44
189,wd black sn850 2tb m.2 ssd,249
190,"seagate hdd 3.5"" 3tb st3000dm007 barracuda",77
191,crucial mx500 250gb ssd,34
192,synology diskstation ds420j nas,305
193,synology diskstation ds1821+ nas,1089
194,"wd hdd 3.5"" 2tb 256mb wd20efax red",78
195,"seagate hdd nas 3.5"" 1tb st1000vn002 ironwolf",54
196,seagate firecuda 530 500gb m.2 ssd,89
197,kingston fury renegade 1tb heatsink m.2 ssd,129
198,western digital red plus wd30efzx 3tb,94
199,wd blue sa510 1tb sata ssd,75
200,seagate firecuda 510 2tb m.2 ssd,204
201,pny cs1030 500gb m.2 ssd,35
202,pny cs900 120gb ssd,16
203,"wd hdd 2.5"" 2tb 128mb wd20spzx blue",69
204,samsung pm9a1 1tb m.2 ssd,109
205,"seagate hdd 3.5"" exos x16 16tb",294
206,corsair force mp600 pro nh 8tb m.2 ssd,1249
207,"patriot memory burst elite 2.5"" 240 gb sata iii ssd",19
208,samsung t7 shield 2tb blauw externe ssd,209
209,"intenso top performance 2.5"" 256gb ssd",23
210,"wd hdd 3.5"" 18tb ultrastar dc hc550",329
211,seagate storage expansion card for xbox series x|s externe ssd,269
212,wd elements portable 1.5tb zwart,59
213,"toshiba n300 nas 8tb 3.5"" sata iii hdwg480uzsva",189
214,i-tec mysafem2 behuizing voor opslagstations m.2 sdd-behuizing zwart,15
215,kingston fury renegade 500gb m.2 ssd,87
216,crucial x6 500gb usb 3.1 gen 2 externe ssd,54
217,"wd hdd 3.5"" 6tb s-ata3 256mb wd60efax red",164
218,western digital my passport externe harde schijf 5 tb zwart,117
219,wd blue sa510 1tb m.2 ssd,79
220,samsung t7 shield 1tb blauw externe ssd,129
221,synology diskstation ds620slim nas,490
222,wd red 2tb sata ssd,200
223,wd black sn850x 4tb m.2 ssd,799
224,"act ac1400 behuizing voor opslagstations hdd-/ssd-behuizing zwart 3.5""",30
225,"act ac1215 behuizing voor opslagstations 2.5""",15
226,wd red 1tb sata ssd,98
227,corsair force mp600 pro lpx 2tb m.2 ssd,279
228,samsung pm9a1 512gb m.2 ssd,69
229,western digital my passport externe harde schijf 1000 gb zwart,54
230,patriot memory p300 512gb pcie 3.0 m.2 ssd,38
231,western digital mypassport 500gb midn.blue wdbagf5000abl-wesn externe ssd,105
232,seagate expansion portable drive 2tb zwart,62
233,western digital red plus wd101efbx 10tb,289
234,seagate expansion stkm4000400 externe harde schijf 4000 gb zwart,106
235,samsung t7 shield 2tb beige externe ssd,209
236,synology dx517 expansion unit,549
237,samsung t7 500gb rood externe ssd,87
238,nas starterkit synology ds220+ + 2x 8tb seagate ironwolf,702
239,western digital blue wd20ezaz 2tb,54
240,intenso top performance 256gb m.2 ssd,25
241,kingston xs2000 2tb externe ssd,239
242,pny cs900 960gb ssd,65
243,nas starterkit synology ds220j + 2x 4tb seagate ironwolf,400
244,kingston kc3000 512gb m.2 ssd,64
245,sandisk extreme pro portable v2 1000 gb zwart externe ssd,219
246,western digital red plus wd140efgx 14tb,389
247,"lc-power lc-35u3-raid-2 behuizing voor opslagstations hdd-behuizing zwart 3.5"" nas",54
248,crucial bx500 500gb ssd,40
249,wd red 4tb sata ssd,467
250,"patriot memory burst elite 2.5"" 1920 gb sata iii ssd",109
251,"corsair ssd mounting bracket, inbouwframe",5
252,wd mypassport 1tb externe ssd,150
253,seagate stjr512400 512 gb zwart externe ssd,143
254,kingston xs2000 500gb externe ssd,84
255,zyxel nas542 nas,219
256,msi spatium m470 2tb m.2 ssd,189
257,samsung t7 touch 1tb zwart externe ssd,139
258,act ac1525 tussenstuk voor kabels usb type-c sata 7-pin + 15pin zwart,17
259,act ac1510 tussenstuk voor kabels sata usb type-a zwart,15
260,wd my cloud ex2 ultra 4tb,310
261,gigabyte 128gb nvme m.2 ssd,25
262,crucial p3 plus 2tb m.2 ssd,170
263,qnap tr-004 behuizing voor opslagstations nas,259
264,savio adapter ak-41 interfacekaart/-adapter m.2,8
265,"wd hdd 3.5"" 8tb s-ata3 256mb wd8003ffbx red pro",244
266,assmann electronic da-71118 behuizing voor opslagstations m.2,15
267,fastro ms250 1tb m.2 ssd,67
268,synology diskstation ds1621xs+ nas,1699
269,western digital wd elements desktop hard drive 8tb usb 3.0,194
270,crucial x6 2tb usb 3.1 gen 2 externe ssd,139
271,corsair force mp600 pro lpx 1tb m.2 ssd,149
272,"act ac1220 behuizing voor opslagstations hdd-/ssd-behuizing zwart 2.5""",36
273,seagate game drive for ps4 hdd 2tb new,89
274,western digital blue wd10ezrz 1tb,42
275,seagate expansion stkp6000400 externe harde schijf 6000 gb zwart,130
276,synology device license 4x,173
277,transcend mte250h 2tb 2280 pcie gen4x4 nvme 3d tlc heatsink m.2 ssd,179
278,wd my cloud home duo 4tb,258
279,corsair force mp600 1tb r2.0 m.2 ssd,99
280,samsung t7 shield 1tb beige externe ssd,129
281,"wd hdd 3.5"" 16tb s-ata3 512mb wd161kfgx red pro",429
282,adata spectrix s40g internal solid state drive m.2 ssd,57
283,seagate firecuda 530 4tb heatsink m.2 ssd,599
284,synology rackstation rs1221+ nas,1249
285,wd red 500gb sata ssd,58
286,lc-power lc-dock-u3-iii hdd/ssd-dockingstation,32
287,western digital red plus wd40efpx 4tb,102
288,toshiba hdtb440ek3ca canvio basics 2 4tb zwart externe harde schijf,94
289,samsung t7 touch 2tb zwart externe ssd,262
290,wd mypassport 2tb externe ssd,259
291,"intenso memory case 2.5"" 1tb usb 3.0 zwart",46
292,msi spatium m480 1tb m.2 ssd,144
293,"icy box ib-3640su3 externe 4x 3,5"" behuizing  sata raid jbod",151
294,msi spatium m480 1tb hs m.2 ssd,139
295,"icy box ib-5251 5,25"" naar 2x 2,5""+1x3,5"" converter",15
296,qnap ts-251d ethernet lan toren wit nas nas,399
297,seagate firecuda 520 2tb m.2 ssd,239
298,western digital elements black 18tb 3.5in usb 3.0/2.0 externe harde schijf 2000 gb zwart,599
299,"toshiba mg08 14tb 3.5"" sata iii mg08aca14te",249
300,lc-power lc-m2-c-42mm behuizing voor opslagstations m.2 sdd-behuizing zwart,12
301,wd my book 4tb in zwart,112
302,"patriot memory burst elite 2.5"" 480 gb sata iii ssd",33
303,wd my cloud home 4tb,184
304,intenso al premium 512gb grijs usb 3.2 gen.1 externe ssd,57
305,intel p4800x series 750gb x4 ssd pci-e,2970
306,"wd hdd 3.5"" 8tb s-ata3 wd8004fryz gold",254
307,western digital my book externe harde schijf 16000 gb zwart,359
308,"seagate hdd nvr 3.5"" 6tb skyhawk",149
309,lexar nm800 pro 512gb pcie 4.0 x4 nvme m.2 ssd,64
310,intenso high 120gb m.2 ssd,16
311,wd blue 500gb - [wds500g2b0b] m.2 ssd,71
312,wd my cloud home duo 8tb,365
313,wd my cloud home 8tb,279
314,wd my book 8tb in zwart,188
315,gigabyte aorus gen4 7000s 1tb m.2 ssd,149
316,"seagate hdd nas 3.5"" 3tb st3000vn007 ironwolf",94
317,sandisk plus 480gb ssd,49
318,akasa m.2 - sata m.2 sata zwart,8
319,seagate expansion stkp14000400 externe harde schijf 14000 gb zwart,279
320,lexar nm620 512gb pci express 3.0 3d tlc nand nvme m.2 ssd,39
321,"ewent ew7040 hdd-/ssd-behuizing 2.5"" zwart opslagbehuizing",26
322,samsung t7 touch 500gb zwart externe ssd,89
323,pny cs1030 250gb m.2 ssd,26
324,"intenso memory center 3.5"" 8tb usb 3.0 zwart",149
325,"wd hdd 3.5"" 10tb s-ata3 wd102kryz gold",284
326,ewent ew7023 zwart opslagbehuizing voor m.2,26
327,western digital purple wd42purz 4tb,99
328,samsung t7 touch 2tb zilver externe ssd,289
329,gigabyte aorus gen4 2tb m.2 ssd,219
330,"act ac1500 2,5""/3,5"" sata harde schijf docking station, usb 3.2 gen1",32
331,wd my cloud home 2tb,149
332,sandisk plus 240gb ssd,36
333,western digital my passport externe harde schijf 4000 gb zwart,104
334,western digital mypassport 1tb red wdbagf0010brd-wesn externe ssd,144
335,seagate 4tb ps4,124
336,toshiba hdtb420ek3aa canvio basics 2 2tb zwart externe harde schijf,64
337,gigabyte 256gb ssd,34
